Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
81,21,5,46,8,Some Random Commen with Id 81
82,21,5,23,7,Some Random Commen with Id 82
83,21,5,172,9,Some Random Commen with Id 83
84,21,5,148,9,Some Random Commen with Id 84
85,22,6,161,5,Some Random Commen with Id 85
86,22,6,41,2,Some Random Commen with Id 86
87,22,6,54,9,Some Random Commen with Id 87
88,24,6,154,6,Some Random Commen with Id 88
89,24,6,54,2,Some Random Commen with Id 89
90,24,6,37,3,Some Random Commen with Id 90
91,24,6,124,6,Some Random Commen with Id 91
92,24,6,7,9,Some Random Commen with Id 92
93,24,6,187,4,Some Random Commen with Id 93
94,24,6,36,0,Some Random Commen with Id 94
95,24,6,18,6,Some Random Commen with Id 95
96,24,6,106,0,Some Random Commen with Id 96
97,25,0,37,7,Some Random Commen with Id 97
98,25,0,154,2,Some Random Commen with Id 98
99,25,0,191,7,Some Random Commen with Id 99
100,25,0,12,4,Some Random Commen with Id 100
101,25,0,181,3,Some Random Commen with Id 101
102,25,0,16,4,Some Random Commen with Id 102
103,25,0,196,5,Some Random Commen with Id 103
104,25,0,57,2,Some Random Commen with Id 104
105,26,2,80,0,Some Random Commen with Id 105
106,28,4,119,4,Some Random Commen with Id 106
107,28,4,19,9,Some Random Commen with Id 107
108,28,4,1,5,Some Random Commen with Id 108
109,29,2,158,2,Some Random Commen with Id 109
110,29,2,34,0,Some Random Commen with Id 110
111,29,2,15,8,Some Random Commen with Id 111
112,29,2,114,4,Some Random Commen with Id 112
113,29,2,139,5,Some Random Commen with Id 113
114,29,2,73,6,Some Random Commen with Id 114
115,29,2,2,2,Some Random Commen with Id 115
116,29,2,156,1,Some Random Commen with Id 116
117,29,2,135,6,Some Random Commen with Id 117
118,30,1,65,2,Some Random Commen with Id 118
119,30,1,183,3,Some Random Commen with Id 119
120,30,1,59,3,Some Random Commen with Id 120
121,30,1,70,8,Some Random Commen with Id 121
122,30,1,142,6,Some Random Commen with Id 122
123,30,1,156,0,Some Random Commen with Id 123
124,30,1,104,4,Some Random Commen with Id 124
125,30,1,189,2,Some Random Commen with Id 125
126,31,6,20,7,Some Random Commen with Id 126
127,31,6,133,6,Some Random Commen with Id 127
128,31,6,150,4,Some Random Commen with Id 128
129,31,6,94,6,Some Random Commen with Id 129
130,31,6,84,1,Some Random Commen with Id 130
131,31,6,136,3,Some Random Commen with Id 131
132,31,6,55,9,Some Random Commen with Id 132
133,31,6,152,1,Some Random Commen with Id 133
134,31,6,100,0,Some Random Commen with Id 134
135,32,1,63,9,Some Random Commen with Id 135
136,32,1,156,3,Some Random Commen with Id 136
137,32,1,19,2,Some Random Commen with Id 137
138,32,1,56,9,Some Random Commen with Id 138
139,33,7,167,6,Some Random Commen with Id 139
140,33,7,141,1,Some Random Commen with Id 140
141,33,7,29,0,Some Random Commen with Id 141
142,34,4,70,4,Some Random Commen with Id 142
143,34,4,197,1,Some Random Commen with Id 143
144,35,1,82,3,Some Random Commen with Id 144
145,35,1,91,6,Some Random Commen with Id 145
146,35,1,106,2,Some Random Commen with Id 146
147,35,1,148,1,Some Random Commen with Id 147
148,35,1,130,2,Some Random Commen with Id 148
149,35,1,95,1,Some Random Commen with Id 149
150,35,1,6,5,Some Random Commen with Id 150
151,35,1,10,8,Some Random Commen with Id 151
152,35,1,4,4,Some Random Commen with Id 152
153,37,3,144,4,Some Random Commen with Id 153
154,37,3,149,4,Some Random Commen with Id 154
155,37,3,38,7,Some Random Commen with Id 155
156,37,3,146,1,Some Random Commen with Id 156
157,37,3,61,6,Some Random Commen with Id 157
158,37,3,18,8,Some Random Commen with Id 158
159,37,3,7,3,Some Random Commen with Id 159
160,37,3,6,1,Some Random Commen with Id 160
